Response ID	Submitted at	Source row	Schema	Language	Role	City group	City detail	Recent four-wheel	Pickup difficulty	Issue flag	Main story	Confusion start	Actions and reasoning	Frustration or missing help	What happened	Locations	Actions	Actions other	Extra time	What helped	Repeated	Additional comment	Follow-up opt-in	Qualitative coverage	In-scope flag	Hyderabad flag	Over five minutes flag	Current issue with story	All four open answers	All four detailed answers
R004	2026-09-17T03:17:50.825Z	4	Legacy	en	rider	Hyderabad	Hyderabad	yes	no	0													no	No issue detail	1	1	0	0	0	0
R005	2026-09-17T03:33:02.118Z	5	Legacy	en	rider	Hyderabad	Hyderabad	yes	yes	1						mall	called			driver_moved	no		no	Structured only	1	1	0	0	0	0
R006	2026-09-17T03:38:11.657Z	6	Legacy	en	rider	Hyderabad	Hyderabad	yes	yes	1						residential	moved			called_messaged	yes		no	Structured only	1	1	0	0	0	0
R007	2026-09-17T03:51:12.072Z	7	Legacy	en	rider	Hyderabad	Hyderabad	yes	yes	1						airport	called			called_messaged	yes		no	Structured only	1	1	0	0	0	0
R008	2026-09-17T03:51:50.803Z	8	Legacy	en	rider	Hyderabad	Hyderabad	yes	no	0													no	No issue detail	1	1	0	0	0	0
R009	2026-09-17T04:03:42.176Z	9	Legacy	en	rider	Hyderabad	Hyderabad	no	no	0													yes	No issue detail	0	1	0	0	0	0
R010	2026-09-17T04:05:17.101Z	10	Legacy	en	rider	Other	Bangalore	yes	yes	1						mall	called			nothing	yes		yes	Structured only	1	0	0	0	0	0
R011	2026-09-17T04:08:47.931Z	11	Legacy	en	rider	Hyderabad	Hyderabad	yes	yes	1						office	waited, messaged, called			landmark, called_messaged	yes		yes	Structured only	1	1	0	0	0	0
R012	2026-09-17T04:10:19.215Z	12	Legacy	en	rider	Other	Bangalore	yes	no	0													yes	No issue detail	1	0	0	0	0	0
R013	2026-09-17T04:10:52.256Z	13	Legacy	en	rider	Other	Kolkata	yes	yes	1						station	called, cancelled			called_messaged, nothing	yes		yes	Structured only	1	0	0	0	0	0
