"responseId","serverTimestamp","clientTimestamp","surveyVersion","language","consent","eligible","recentMethod","recentMethodOther","mission","missionOther","firstNeed","firstNeedOther","householdSize","items","spend","categories","categoriesOther","expansionPattern","considered","consideredCategory","consideredCategoryOther","stopReason","stopReasonOther","basketStopWhy","basketStopWhyOther","thresholdNoticed","thresholdAction","thresholdActionOther","zeptoWhy","zeptoWhyOther","zeptoCheckoutMoment","altWhy","altWhyOther","consideredZepto","altZeptoGap","receptivity","channelMix","channelMixOther","city","ageBracket","lifeStage","rawJson"
"BS2-acf4dbaff106f3c2c54012ef","23/09/2026 10:40:47","2026-09-23T05:10:45.274Z","2.5","en","TRUE","TRUE","local_store","","stock_up","","","","two","more_than_ten","1000_plus","[""staples_packaged_cooking"",""beauty_personal_wellness"",""household_home_kitchen""]","","[""planned_items"",""removed_items""]","yes","beauty_personal_wellness","","other","To kill the urge to buy unnecessary items.","","","no","","","","","","habit","","no","None","found_pushy","local_bulk","","VISAKHAPATNAM","55_plus","working_partnered","{""responseId"":""BS2-acf4dbaff106f3c2c54012ef"",""clientTimestamp"":""2026-09-23T05:10:45.274Z"",""surveyVersion"":""2.5"",""language"":""en"",""consent"":true,""eligible"":true,""recentMethod"":""local_store"",""recentMethodOther"":"""",""mission"":""stock_up"",""missionOther"":"""",""firstNeed"":"""",""firstNeedOther"":"""",""householdSize"":""two"",""items"":""more_than_ten"",""spend"":""1000_plus"",""categories"":[""staples_packaged_cooking"",""beauty_personal_wellness"",""household_home_kitchen""],""categoriesOther"":"""",""expansionPattern"":[""planned_items"",""removed_items""],""considered"":""yes"",""consideredCategory"":""beauty_personal_wellness"",""consideredCategoryOther"":"""",""stopReason"":""other"",""stopReasonOther"":""To kill the urge to buy unnecessary items."",""basketStopWhy"":"""",""basketStopWhyOther"":"""",""thresholdNoticed"":""no"",""thresholdAction"":"""",""thresholdActionOther"":"""",""zeptoWhy"":"""",""zeptoWhyOther"":"""",""zeptoCheckoutMoment"":"""",""altWhy"":""habit"",""altWhyOther"":"""",""consideredZepto"":""no"",""altZeptoGap"":""None"",""receptivity"":""found_pushy"",""channelMix"":""local_bulk"",""channelMixOther"":"""",""city"":""VISAKHAPATNAM"",""ageBracket"":""55_plus"",""lifeStage"":""working_partnered""}"
"BS2-790e6cb9810fd5ae77efb596","23/09/2026 10:47:04","2026-09-23T05:17:02.384Z","2.5","en","TRUE","TRUE","local_store","","stock_up","","","","two","more_than_ten","1000_plus","[""household_home_kitchen""]","","[""related_search""]","not_sure","","","","","","","no","","","","","","close_convenient","","no","","ignored","no_separate_bulk","","Hyderabad","55_plus","retired_not_working","{""responseId"":""BS2-790e6cb9810fd5ae77efb596"",""clientTimestamp"":""2026-09-23T05:17:02.384Z"",""surveyVersion"":""2.5"",""language"":""en"",""consent"":true,""eligible"":true,""recentMethod"":""local_store"",""recentMethodOther"":"""",""mission"":""stock_up"",""missionOther"":"""",""firstNeed"":"""",""firstNeedOther"":"""",""householdSize"":""two"",""items"":""more_than_ten"",""spend"":""1000_plus"",""categories"":[""household_home_kitchen""],""categoriesOther"":"""",""expansionPattern"":[""related_search""],""considered"":""not_sure"",""consideredCategory"":"""",""consideredCategoryOther"":"""",""stopReason"":"""",""stopReasonOther"":"""",""basketStopWhy"":"""",""basketStopWhyOther"":"""",""thresholdNoticed"":""no"",""thresholdAction"":"""",""thresholdActionOther"":"""",""zeptoWhy"":"""",""zeptoWhyOther"":"""",""zeptoCheckoutMoment"":"""",""altWhy"":""close_convenient"",""altWhyOther"":"""",""consideredZepto"":""no"",""altZeptoGap"":"""",""receptivity"":""ignored"",""channelMix"":""no_separate_bulk"",""channelMixOther"":"""",""city"":""Hyderabad"",""ageBracket"":""55_plus"",""lifeStage"":""retired_not_working""}"
"BS2-ec30bfe09d250299ee8f8c10","23/09/2026 11:02:46","2026-09-23T05:32:48.148Z","2.5","en","TRUE","TRUE","supermarket","","stock_up","","","","three_four","more_than_ten","1000_plus","[""dairy_bread_eggs"",""household_home_kitchen"",""staples_packaged_cooking""]","","[""planned_items"",""unplanned_browse""]","not_sure","","","","","","","no","","","","","","larger_quantity_value","","no","Better price than other stores.","looked_no_add","supermarket_bulk","","Hyderabad","45_54","family_with_children","{""responseId"":""BS2-ec30bfe09d250299ee8f8c10"",""clientTimestamp"":""2026-09-23T05:32:48.148Z"",""surveyVersion"":""2.5"",""language"":""en"",""consent"":true,""eligible"":true,""recentMethod"":""supermarket"",""recentMethodOther"":"""",""mission"":""stock_up"",""missionOther"":"""",""firstNeed"":"""",""firstNeedOther"":"""",""householdSize"":""three_four"",""items"":""more_than_ten"",""spend"":""1000_plus"",""categories"":[""dairy_bread_eggs"",""household_home_kitchen"",""staples_packaged_cooking""],""categoriesOther"":"""",""expansionPattern"":[""planned_items"",""unplanned_browse""],""considered"":""not_sure"",""consideredCategory"":"""",""consideredCategoryOther"":"""",""stopReason"":"""",""stopReasonOther"":"""",""basketStopWhy"":"""",""basketStopWhyOther"":"""",""thresholdNoticed"":""no"",""thresholdAction"":"""",""thresholdActionOther"":"""",""zeptoWhy"":"""",""zeptoWhyOther"":"""",""zeptoCheckoutMoment"":"""",""altWhy"":""larger_quantity_value"",""altWhyOther"":"""",""consideredZepto"":""no"",""altZeptoGap"":""Better price than other stores."",""receptivity"":""looked_no_add"",""channelMix"":""supermarket_bulk"",""channelMixOther"":"""",""city"":""Hyderabad"",""ageBracket"":""45_54"",""lifeStage"":""family_with_children""}"
"BS2-a049c6fa9f1cc9752e548b7d","23/09/2026 11:04:51","2026-09-23T05:34:49.775Z","2.5","en","TRUE","TRUE","supermarket","","offer_led","","household_home_kitchen","","three_four","more_than_ten","1000_plus","[""household_home_kitchen""]","","[""immediate_checkout""]","yes","other","Loose groceries ","quality_concern","","","","no","","","","","","close_convenient","","no","Not used zepto till now","ignored","supermarket_bulk","","Hyderabad","45_54","family_with_children","{""responseId"":""BS2-a049c6fa9f1cc9752e548b7d"",""clientTimestamp"":""2026-09-23T05:34:49.775Z"",""surveyVersion"":""2.5"",""language"":""en"",""consent"":true,""eligible"":true,""recentMethod"":""supermarket"",""recentMethodOther"":"""",""mission"":""offer_led"",""missionOther"":"""",""firstNeed"":""household_home_kitchen"",""firstNeedOther"":"""",""householdSize"":""three_four"",""items"":""more_than_ten"",""spend"":""1000_plus"",""categories"":[""household_home_kitchen""],""categoriesOther"":"""",""expansionPattern"":[""immediate_checkout""],""considered"":""yes"",""consideredCategory"":""other"",""consideredCategoryOther"":""Loose groceries "",""stopReason"":""quality_concern"",""stopReasonOther"":"""",""basketStopWhy"":"""",""basketStopWhyOther"":"""",""thresholdNoticed"":""no"",""thresholdAction"":"""",""thresholdActionOther"":"""",""zeptoWhy"":"""",""zeptoWhyOther"":"""",""zeptoCheckoutMoment"":"""",""altWhy"":""close_convenient"",""altWhyOther"":"""",""consideredZepto"":""no"",""altZeptoGap"":""Not used zepto till now"",""receptivity"":""ignored"",""channelMix"":""supermarket_bulk"",""channelMixOther"":"""",""city"":""Hyderabad"",""ageBracket"":""45_54"",""lifeStage"":""family_with_children""}"
"BS2-37220af28c105baf3170ea50","23/09/2026 11:12:48","2026-09-23T05:42:45.562Z","2.5","en","TRUE","TRUE","blinkit","","urgent","","dairy_bread_eggs","","three_four","four_six","700_999","[""dairy_bread_eggs""]","","[""related_search""]","not_sure","","","","","","","yes","added_useful","","","","","delivery_reliability","","yes","Yes i can switch to zepto","added_item","supermarket_bulk","","Hyderabad","55_plus","retired_not_working","{""responseId"":""BS2-37220af28c105baf3170ea50"",""clientTimestamp"":""2026-09-23T05:42:45.562Z"",""surveyVersion"":""2.5"",""language"":""en"",""consent"":true,""eligible"":true,""recentMethod"":""blinkit"",""recentMethodOther"":"""",""mission"":""urgent"",""missionOther"":"""",""firstNeed"":""dairy_bread_eggs"",""firstNeedOther"":"""",""householdSize"":""three_four"",""items"":""four_six"",""spend"":""700_999"",""categories"":[""dairy_bread_eggs""],""categoriesOther"":"""",""expansionPattern"":[""related_search""],""considered"":""not_sure"",""consideredCategory"":"""",""consideredCategoryOther"":"""",""stopReason"":"""",""stopReasonOther"":"""",""basketStopWhy"":"""",""basketStopWhyOther"":"""",""thresholdNoticed"":""yes"",""thresholdAction"":""added_useful"",""thresholdActionOther"":"""",""zeptoWhy"":"""",""zeptoWhyOther"":"""",""zeptoCheckoutMoment"":"""",""altWhy"":""delivery_reliability"",""altWhyOther"":"""",""consideredZepto"":""yes"",""altZeptoGap"":""Yes i can switch to zepto"",""receptivity"":""added_item"",""channelMix"":""supermarket_bulk"",""channelMixOther"":"""",""city"":""Hyderabad"",""ageBracket"":""55_plus"",""lifeStage"":""retired_not_working""}"
"BS2-8cb4a0bd95b940b196d82603","23/09/2026 11:24:50","2026-09-23T05:54:47.433Z","2.5","en","TRUE","TRUE","blinkit","","urgent","","dairy_bread_eggs","","three_four","four_six","below_200","[""dairy_bread_eggs""]","","[""unplanned_browse""]","no","","","","","","","yes","added_to_unlock","","","","","familiar_app","","not_sure","Try it","ignored","local_bulk","","Srikakulam","45_54","family_with_children","{""responseId"":""BS2-8cb4a0bd95b940b196d82603"",""clientTimestamp"":""2026-09-23T05:54:47.433Z"",""surveyVersion"":""2.5"",""language"":""en"",""consent"":true,""eligible"":true,""recentMethod"":""blinkit"",""recentMethodOther"":"""",""mission"":""urgent"",""missionOther"":"""",""firstNeed"":""dairy_bread_eggs"",""firstNeedOther"":"""",""householdSize"":""three_four"",""items"":""four_six"",""spend"":""below_200"",""categories"":[""dairy_bread_eggs""],""categoriesOther"":"""",""expansionPattern"":[""unplanned_browse""],""considered"":""no"",""consideredCategory"":"""",""consideredCategoryOther"":"""",""stopReason"":"""",""stopReasonOther"":"""",""basketStopWhy"":"""",""basketStopWhyOther"":"""",""thresholdNoticed"":""yes"",""thresholdAction"":""added_to_unlock"",""thresholdActionOther"":"""",""zeptoWhy"":"""",""zeptoWhyOther"":"""",""zeptoCheckoutMoment"":"""",""altWhy"":""familiar_app"",""altWhyOther"":"""",""consideredZepto"":""not_sure"",""altZeptoGap"":""Try it"",""receptivity"":""ignored"",""channelMix"":""local_bulk"",""channelMixOther"":"""",""city"":""Srikakulam"",""ageBracket"":""45_54"",""lifeStage"":""family_with_children""}"
"BS2-8d5ae2d5245f8cecddd75ec1","23/09/2026 11:36:48","2026-09-23T06:06:46.200Z","2.5","en","TRUE","TRUE","amazon_fresh","","regular_reorder","","","","three_four","more_than_ten","1000_plus","[""dairy_bread_eggs"",""staples_packaged_cooking"",""snacks_sweets_beverages""]","","[""planned_items""]","no","","","","","","","yes","added_useful","","","","","larger_quantity_value","","no","Good offers","looked_no_add","different_quick_commerce","","Hyderabad","35_44","family_with_children","{""responseId"":""BS2-8d5ae2d5245f8cecddd75ec1"",""clientTimestamp"":""2026-09-23T06:06:46.200Z"",""surveyVersion"":""2.5"",""language"":""en"",""consent"":true,""eligible"":true,""recentMethod"":""amazon_fresh"",""recentMethodOther"":"""",""mission"":""regular_reorder"",""missionOther"":"""",""firstNeed"":"""",""firstNeedOther"":"""",""householdSize"":""three_four"",""items"":""more_than_ten"",""spend"":""1000_plus"",""categories"":[""dairy_bread_eggs"",""staples_packaged_cooking"",""snacks_sweets_beverages""],""categoriesOther"":"""",""expansionPattern"":[""planned_items""],""considered"":""no"",""consideredCategory"":"""",""consideredCategoryOther"":"""",""stopReason"":"""",""stopReasonOther"":"""",""basketStopWhy"":"""",""basketStopWhyOther"":"""",""thresholdNoticed"":""yes"",""thresholdAction"":""added_useful"",""thresholdActionOther"":"""",""zeptoWhy"":"""",""zeptoWhyOther"":"""",""zeptoCheckoutMoment"":"""",""altWhy"":""larger_quantity_value"",""altWhyOther"":"""",""consideredZepto"":""no"",""altZeptoGap"":""Good offers"",""receptivity"":""looked_no_add"",""channelMix"":""different_quick_commerce"",""channelMixOther"":"""",""city"":""Hyderabad"",""ageBracket"":""35_44"",""lifeStage"":""family_with_children""}"
"BS2-73f09fe205986a4f15ca85ff","23/09/2026 11:36:51","2026-09-23T06:06:49.012Z","2.5","en","TRUE","TRUE","amazon_fresh","","urgent","","dairy_bread_eggs","","two","four_six","below_200","[""dairy_bread_eggs"",""fresh_produce"",""household_home_kitchen""]","","[""planned_items""]","no","","","","","","","yes","added_to_unlock","","","","","close_convenient","","yes","","ignored","supermarket_bulk","","Bangalore","25_34","family_with_children","{""responseId"":""BS2-73f09fe205986a4f15ca85ff"",""clientTimestamp"":""2026-09-23T06:06:49.012Z"",""surveyVersion"":""2.5"",""language"":""en"",""consent"":true,""eligible"":true,""recentMethod"":""amazon_fresh"",""recentMethodOther"":"""",""mission"":""urgent"",""missionOther"":"""",""firstNeed"":""dairy_bread_eggs"",""firstNeedOther"":"""",""householdSize"":""two"",""items"":""four_six"",""spend"":""below_200"",""categories"":[""dairy_bread_eggs"",""fresh_produce"",""household_home_kitchen""],""categoriesOther"":"""",""expansionPattern"":[""planned_items""],""considered"":""no"",""consideredCategory"":"""",""consideredCategoryOther"":"""",""stopReason"":"""",""stopReasonOther"":"""",""basketStopWhy"":"""",""basketStopWhyOther"":"""",""thresholdNoticed"":""yes"",""thresholdAction"":""added_to_unlock"",""thresholdActionOther"":"""",""zeptoWhy"":"""",""zeptoWhyOther"":"""",""zeptoCheckoutMoment"":"""",""altWhy"":""close_convenient"",""altWhyOther"":"""",""consideredZepto"":""yes"",""altZeptoGap"":"""",""receptivity"":""ignored"",""channelMix"":""supermarket_bulk"",""channelMixOther"":"""",""city"":""Bangalore"",""ageBracket"":""25_34"",""lifeStage"":""family_with_children""}"
"BS2-3d63aa572f2979fe7688002a","23/09/2026 11:37:08","2026-09-23T06:07:04.972Z","2.5","en","TRUE","TRUE","amazon_fresh","","stock_up","","","","three_four","four_six","400_699","[""fresh_produce"",""dairy_bread_eggs"",""staples_packaged_cooking""]","","[""planned_items"",""threshold_add"",""removed_items""]","not_sure","","","","","","","not_sure","","","","","","availability","","no","Good offers","added_item","local_bulk","","Hyderabad","45_54","family_with_children","{""responseId"":""BS2-3d63aa572f2979fe7688002a"",""clientTimestamp"":""2026-09-23T06:07:04.972Z"",""surveyVersion"":""2.5"",""language"":""en"",""consent"":true,""eligible"":true,""recentMethod"":""amazon_fresh"",""recentMethodOther"":"""",""mission"":""stock_up"",""missionOther"":"""",""firstNeed"":"""",""firstNeedOther"":"""",""householdSize"":""three_four"",""items"":""four_six"",""spend"":""400_699"",""categories"":[""fresh_produce"",""dairy_bread_eggs"",""staples_packaged_cooking""],""categoriesOther"":"""",""expansionPattern"":[""planned_items"",""threshold_add"",""removed_items""],""considered"":""not_sure"",""consideredCategory"":"""",""consideredCategoryOther"":"""",""stopReason"":"""",""stopReasonOther"":"""",""basketStopWhy"":"""",""basketStopWhyOther"":"""",""thresholdNoticed"":""not_sure"",""thresholdAction"":"""",""thresholdActionOther"":"""",""zeptoWhy"":"""",""zeptoWhyOther"":"""",""zeptoCheckoutMoment"":"""",""altWhy"":""availability"",""altWhyOther"":"""",""consideredZepto"":""no"",""altZeptoGap"":""Good offers"",""receptivity"":""added_item"",""channelMix"":""local_bulk"",""channelMixOther"":"""",""city"":""Hyderabad"",""ageBracket"":""45_54"",""lifeStage"":""family_with_children""}"
"BS2-8ca69f66f256e40ba6defd71","23/09/2026 11:45:54","2026-09-23T06:15:39.324Z","2.5","en","TRUE","TRUE","zepto","","ran_out","","dairy_bread_eggs","","prefer_not","two_three","prefer_not","[""dairy_bread_eggs""]","","[""do_not_remember""]","no","","","","","","","yes","no_change","","other","nearest godown","received a call ","","","","","found_pushy","supermarket_bulk","","silicon valley of india","prefer_not","prefer_not","{""responseId"":""BS2-8ca69f66f256e40ba6defd71"",""clientTimestamp"":""2026-09-23T06:15:39.324Z"",""surveyVersion"":""2.5"",""language"":""en"",""consent"":true,""eligible"":true,""recentMethod"":""zepto"",""recentMethodOther"":"""",""mission"":""ran_out"",""missionOther"":"""",""firstNeed"":""dairy_bread_eggs"",""firstNeedOther"":"""",""householdSize"":""prefer_not"",""items"":""two_three"",""spend"":""prefer_not"",""categories"":[""dairy_bread_eggs""],""categoriesOther"":"""",""expansionPattern"":[""do_not_remember""],""considered"":""no"",""consideredCategory"":"""",""consideredCategoryOther"":"""",""stopReason"":"""",""stopReasonOther"":"""",""basketStopWhy"":"""",""basketStopWhyOther"":"""",""thresholdNoticed"":""yes"",""thresholdAction"":""no_change"",""thresholdActionOther"":"""",""zeptoWhy"":""other"",""zeptoWhyOther"":""nearest godown"",""zeptoCheckoutMoment"":""received a call "",""altWhy"":"""",""altWhyOther"":"""",""consideredZepto"":"""",""altZeptoGap"":"""",""receptivity"":""found_pushy"",""channelMix"":""supermarket_bulk"",""channelMixOther"":"""",""city"":""silicon valley of india"",""ageBracket"":""prefer_not"",""lifeStage"":""prefer_not""}"
